name_tovar_ua;kod_tovar;brend;price;dlina;glubina;visota;spalnoe
Прямой диван Олаф;M-16-77-7330;MiaNotti;16230;209,5 см;109 см;111 см;157 см х 197,5 см
Прямий диван Намюр;В-18-1042-104565;Вектор;18365;225 см;100 см;87 см;155 см х 195 см
Прямий диван Рольф;В-21-1042-104580;Вектор;21580;225 см;104 см;88,5 см;155 см х 200 см
Прямий диван Сідней;M-16-77-7375;MiaNotti;16275;232 см;96 см;92 см;140 см х 196 см
