name_tovar_ua;kod_tovar;brend;price;dlina;glubina;visota;spalnoe;image;mimage1;mimage2;mimage3;mimage4;mimage5;mimage6;mimage7;mimage8;mimage9;mimage10;mimage11;mimage12;mimage13;mimage14;mimage15;mimage16;mimage17;mimage18;mimage19;mimage20
Пуф Лестер;Т-41-1058-105240;ТМ MiaNotti;4140;65 см;95 см;44 см;0;images/konstanta-site/krislo-pufik/puf-lester/puf-lester-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil68.jpg;images/konstanta-site/krislo-pufik/puf-lester/puf-lester-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil69.jpg;images/konstanta-site/krislo-pufik/puf-lester/puf-lester-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil70.jpg;images/konstanta-site/krislo-pufik/puf-lester/puf-lester-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil71.jpg;images/konstanta-site/krislo-pufik/puf-lester/puf-lester-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil72.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Пуф Бомбей;Т-25-1058-105285;ТМ MiaNotti;2585;65см;65см;40 см;0;images/konstanta-site/krislo-pufik/puf-bombej/puf-bombej-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil73.jpg;images/konstanta-site/krislo-pufik/puf-bombej/puf-bombej-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil74.jpg;images/konstanta-site/krislo-pufik/puf-bombej/puf-bombej-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil75.jpg;images/konstanta-site/krislo-pufik/puf-bombej/puf-bombej-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil76.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Пуф Deco;Т-20-1058-105255;ТМ MiaNotti;2055;65 см;65 см;40 см;0;images/konstanta-site/krislo-pufik/puf-deco/puf-deco-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil77.jpg;images/konstanta-site/krislo-pufik/puf-deco/puf-deco-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil78.jpg;images/konstanta-site/krislo-pufik/puf-deco/puf-deco-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil79.jpg;images/konstanta-site/krislo-pufik/puf-deco/puf-deco-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil80.jpg;images/konstanta-site/krislo-pufik/puf-deco/puf-deco-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil81.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Пуф ""Роланд""";Т-53-1058-105255;ТМ Константа;5355;112 см;67 см;42,5 см;0;images/konstanta-site/krislo-pufik/puf-roland/puf-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil82.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Пуф ""Даллас""";Т-39-1058-105250;ТМ Константа;3950;65 см;65 см;47 см;0;images/konstanta-site/krislo-pufik/puf-dallas/puf-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil83.jpg;images/konstanta-site/krislo-pufik/puf-dallas/puf-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil84.jpg;images/konstanta-site/krislo-pufik/puf-dallas/puf-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil85.jpg;images/konstanta-site/krislo-pufik/puf-dallas/puf-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil86.jpg;images/konstanta-site/krislo-pufik/puf-dallas/puf-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil87.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Пуф ""Таблет""";Т-83-1058-105230;ТМ Константа;830;40 см;40 см;40 см;0;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil88.jpg;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil89.jpg;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil90.jpg;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil91.jpg;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil92.jpg;images/konstanta-site/krislo-pufik/puf-tablet/puf-tablet-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil93.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Pavane 1;Т-77-1058-105230;ТМ MiaNotti;7730;88см;100 см;108 см;0;images/konstanta-site/krislo-pufik/krslo-pavane-1/krslo-pavane-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil94.jpg;images/konstanta-site/krislo-pufik/krslo-pavane-1/krslo-pavane-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil95.jpg;images/konstanta-site/krislo-pufik/krslo-pavane-1/krslo-pavane-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil96.jpg;images/konstanta-site/krislo-pufik/krslo-pavane-1/krslo-pavane-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil97.jpg;images/konstanta-site/krislo-pufik/krslo-pavane-1/krslo-pavane-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil98.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Крісло ""Даллас""";Т-10-1058-105240;ТМ Константа;10740;109 см;93,5 см;97 см;0;images/konstanta-site/krislo-pufik/krslo-dallas/krslo-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil99.jpg;images/konstanta-site/krislo-pufik/krslo-dallas/krslo-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil100.jpg;images/konstanta-site/krislo-pufik/krslo-dallas/krslo-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil101.jpg;images/konstanta-site/krislo-pufik/krslo-dallas/krslo-dallas-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil102.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Крісло ""Босфор""";Т-13-1058-105250;ТМ MiaNotti;13350;115 см;110 см;89 см;0;images/konstanta-site/krislo-pufik/krslo-bosfor/krslo-bosfor-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil103.jpg;images/konstanta-site/krislo-pufik/krslo-bosfor/krslo-bosfor-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil104.jpg;images/konstanta-site/krislo-pufik/krslo-bosfor/krslo-bosfor-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil105.jpg;images/konstanta-site/krislo-pufik/krslo-bosfor/krslo-bosfor-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil106.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Крісло ""Каліфорнія""";Т-84-1058-105270;ТМ Константа;8470;80 см;100 см;100 см;0;images/konstanta-site/krislo-pufik/krslo-kalfornja/krslo-kalfornja-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil107.jpg;images/konstanta-site/krislo-pufik/krslo-kalfornja/krslo-kalfornja-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil108.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Оскар;Т-54-1058-105265;ТМ Константа;5465;73 см;88 см;91 см;0;images/konstanta-site/krislo-pufik/krslo-oskar/krslo-oskar-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil109.jpg;images/konstanta-site/krislo-pufik/krslo-oskar/krslo-oskar-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil110.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Цезар;Т-14-1058-105245;ТМ Константа;14345;92 см;109 см;88 см;160см х 73 см;images/konstanta-site/krislo-pufik/krslo-tsezar/krslo-tsezar-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil111.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Пуф Груша;Т-24-1058-105275;ТМ Константа;2475;110 см;0;80 см;0;images/konstanta-site/krislo-pufik/puf-grusha/puf-grusha-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil112.jpg;images/konstanta-site/krislo-pufik/puf-grusha/puf-grusha-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil113.jpg;images/konstanta-site/krislo-pufik/puf-grusha/puf-grusha-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil114.jpg;images/konstanta-site/krislo-pufik/puf-grusha/puf-grusha-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil115.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Будапешт;Т-66-1058-105210;ТМ Константа;6610;81 см;93 см;95 см;0;images/konstanta-site/krislo-pufik/krslo-budapesht/krslo-budapesht-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil116.jpg;images/konstanta-site/krislo-pufik/krslo-budapesht/krslo-budapesht-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil117.jpg;images/konstanta-site/krislo-pufik/krslo-budapesht/krslo-budapesht-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil118.jpg;images/konstanta-site/krislo-pufik/krslo-budapesht/krslo-budapesht-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil119.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Пуф-крісло Палермо;Т-60-1058-105210;ТМ MiaNotti;6010;70 см;70 см;50 см;0;images/konstanta-site/krislo-pufik/puf-krslo-palermo/puf-krslo-palermo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil120.jpg;images/konstanta-site/krislo-pufik/puf-krslo-palermo/puf-krslo-palermo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil121.jpg;images/konstanta-site/krislo-pufik/puf-krslo-palermo/puf-krslo-palermo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil122.jpg;images/konstanta-site/krislo-pufik/puf-krslo-palermo/puf-krslo-palermo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil123.jpg;images/konstanta-site/krislo-pufik/puf-krslo-palermo/puf-krslo-palermo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil124.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Пуф-Кровать;Т-54-1058-105270;ТМ Константа;5470;80 см;80 см;50 см;0;images/konstanta-site/krislo-pufik/puf-krovat/puf-krovat-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil125.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
