name_tovar_ua;alias;kod_tovar;brend;price;dlina;glubina;visota;spalnoe;image;mimage1;mimage2;mimage3;mimage4;mimage5;mimage6;mimage7;mimage8;mimage9;mimage10;mimage11;color;proizvod;zag_razmer;material
Ліжко Марія (з підйомним механізмом);;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000;
Ліжко Марія-Люкс (з ящиками);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац:1600*2000, узголів'я - 920мм;
Ліжко Маргарита;;;MX;0;;;;;;;;;;;;;;;;;;;" Під матрац:1600*2000мм; узголів'я 1200мм; узніжжя 570мм.";
Ліжко Маргарита (каштан);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац:1600*2000мм, узголів'я 1200мм, узніжжя 570мм;
Ліжко Марта (Буковий щит);;;MX;0;;;;;;;;;;;;;;;;;;;під матрац: 1600*2000, Узголів'я 910 мм;
Ліжко Ніколь (білий);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац:1600*2000мм (інші розміри можливі по спецзамовленню);
Ліжко Ніколь (темний горіх);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 1600*2000мм (інші розміри можливі по спецзамовленню);
Ліжко Наталі;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 1600*2000;";
Ліжко Нормандія;;;MX;0;;;;;;;;;;;;;;;;;;;" Під матрац: 1600*2000; висота узголів'я - 920, узніжжя - 480";
Ліжко односпальне Юніор (з 1 або 2-ма заборами);;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац: 900*2000; висота узголів’я  - 800, узніжжя - 800";
Ліжко Ольга;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 900*2000, 1200*2000, 1400*2000, 1600*2000; Узголів'я - 750мм";
Ліжко ОЛЬГА (Білий);;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 900*2000, 1200*2000, 1400*2000, 1600*2000; Узголів'я - 750мм";
Ліжко Ольга - 0,9м;;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 900*2000, Узголів'я - 750мм;
Ліжко Пальміра;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000;
Ліжко Прованс;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000;
Ліжко Ретро (Вільха);;;MX;0;;;;;;;;;;;;;;;;;;; 1200, 1400, 1600, 1800*2000;
Ліжко Ретро-2;;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац: 1600*2000мм; узголів'я - 790мм (інші розміри можливі по спецзамовленню)";
Ліжко С'ЮЗІ;;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац: 900*2000мм; ";
Ліжко Сідней;;;MX;0;;;;;;;;;;;;;;;;;;;<strong>Доступні розміри під матрац: </strong>;
Ліжко Сіті (без узніжжя);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 1400*2000, 1600*2000, 1800*2000;";
Ліжко Сіті (З ПІДЙОМНИМ МЕХАНІЗМОМ);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 1400*2000, 1600*2000, 1800*2000;";
Ліжко Сіті (з узніжжям);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 1400*2000, 1600*2000, 1800*2000;";
Ліжко Сіті (з ящиками);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 1400*2000, 1600*2000, 1800*2000;";
Ліжко Сабріна (Вільха);;;MX;0;;;;;;;;;;;;;;;;;;;Доступні розміри під матрац: 1600*2000. ;
Ліжко Санді;;;MX;0;;;;;;;;;;;;;;;;;;;<strong>Доступні розміри під матрац: </strong>;
Ліжко Сицилія;;;MX;0;;;;;;;;;;;;;;;;;;;<strong>Доступні розміри під матрац:</strong>;
Ліжко Скай-3 (білий);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац:800*1900мм, узголів'я 700мм;
Ліжко Скай-3 (коньячний);;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 800*1900мм, узголів'я 700мм;
Ліжко Соната;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац:1600*2000;
Ліжко Соня;;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 800*1900;
Ліжко Софія (Вільха);;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац:1600*2000мм; висота узголів'я - 820 мм; висота узніжжя - 350 мм";
Ліжко Софія (З ПІДЙОМНИМ МЕХАНІЗМОМ);;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000мм, висота - 850мм;
