name_tovar_ua;kod_tovar;brend;alias;price;matr_visot;matr_zhors;matr_nagruz;introtext_razm_price_vse;cont_name_harakt_vse;image;mimage1;mimage2;template
Ковдра Day&Night ЛІТНЯ;D-1058-32-1051;Day&Night;kovdra-daynight-ltnja-kiev-borispol-brovary-matras;695;0;0;0;"<tr><th scope=""row"">140х205</th><td>695 грн.</td></tr><tr><th scope=""row"">155х205</th><td>770 грн.</td></tr><tr><th scope=""row"">200х220</th><td>1 034 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>155</td></tr><tr><th scope=""row"">Довжина, см</th><td>205</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Гіпоалергенна</td></tr><tr><th scope=""row"">Сезон</th><td>Літо</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr>";images/EMM/kovdri/kovdra-daynight-ltnja/kovdra-daynight-ltnja-kiev-odesa-lviv-0.jpg;images/EMM/kovdri/img1-EMM.jpg;images/EMM/kovdri/img2-EMM.jpg;16
Ковдра Day&Night МІЖСЕЗОННА;D-1053-1045-1047;Day&Night;kovdra-daynight-mzhsezonna-kiev-borispol-brovary-matras;935;0;0;0;"<tr><th scope=""row"">140х205</th><td>935 грн.</td></tr><tr><th scope=""row"">155х205</th><td>1 034 грн.</td></tr><tr><th scope=""row"">200х220</th><td>1 379 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>220</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Гіпоалергенна</td></tr><tr><th scope=""row"">Сезон</th><td>Весна. осінь. зима</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr>";images/EMM/kovdri/kovdra-daynight-mzhsezonna/kovdra-daynight-mzhsezonna-kiev-odesa-lviv-1.jpg;images/EMM/kovdri/img1-EMM.jpg;images/EMM/kovdri/img2-EMM.jpg;16
Ковдра Day&Night ЗИМОВА ВОВНЯНА;D-1071-1054-1042;Day&Night;kovdra-daynight-zimova-vovnjana-kiev-borispol-brovary-matras;1349;0;0;0;"<tr><th scope=""row"">140х205</th><td>1 349 грн.</td></tr><tr><th scope=""row"">155х205</th><td>1 494 грн.</td></tr><tr><th scope=""row"">200х220</th><td>2 069 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>220</td></tr><tr><th scope=""row"">Наповнювач </th><td>50% - шерсть мериноса. 50% - поліефірні волокна</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Натуральна шерсть мериноса</td></tr><tr><th scope=""row"">Сезон</th><td>Зима</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr>";images/EMM/kovdri/kovdra-daynight-zimova-vovnjana/kovdra-daynight-zimova-vovnjana-kiev-odesa-lviv-2.jpg;images/EMM/kovdri/img1-EMM.jpg;images/EMM/kovdri/img2-EMM.jpg;16
Ковдра Day&Night ЧОТОРИ СЕЗОНИ;D-1054-1057-1045;Day&Night;kovdra-daynight-chotori-sezoni-kiev-borispol-brovary-matras;1557;0;0;0;"<tr><th scope=""row"">140х205</th><td>1 557 грн.</td></tr><tr><th scope=""row"">155х205</th><td>1 724 грн.</td></tr><tr><th scope=""row"">200х220</th><td>2 300 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>220</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Дві ковдри в одній на кнопках</td></tr><tr><th scope=""row"">Сезон</th><td>Всесезонність</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr>";images/EMM/kovdri/kovdra-daynight-chotori-sezoni/kovdra-daynight-chotori-sezoni-kiev-odesa-lviv-3.jpg;images/EMM/kovdri/img1-EMM.jpg;images/EMM/kovdri/img2-EMM.jpg;16
