name_tovar_ua;kod_tovar;brend;alias;price;matr_visot;matr_zhors;matr_nagruz;introtext_razm_price_vse;cont_name_harakt_vse;image;mimage1;mimage2;template
Ортопедичний матрац Freedom 2 в 1;F-1042-32-50;Freedom;ortopedichnij-matrats-freedom-2-v-1-kiev-borispol-brovary-matras;3046;18 см;5/4;130 кг;"<tr><th scope=""row"">70х190</th><td>3 046 грн.</td></tr><tr><th scope=""row"">80х190</th><td>3 417 грн.</td></tr><tr><th scope=""row"">90х190</th><td>3 776 грн.</td></tr><tr><th scope=""row"">120х190</th><td>4 949 грн.</td></tr><tr><th scope=""row"">140х190</th><td>5 665 грн.</td></tr><tr><th scope=""row"">150х190</th><td>5 956 грн.</td></tr><tr><th scope=""row"">160х190</th><td>6 234 грн.</td></tr><tr><th scope=""row"">180х190</th><td>6 943 грн.</td></tr><tr><th scope=""row"">80х200</th><td>3 470 грн.</td></tr><tr><th scope=""row"">90х200</th><td>3 833 грн.</td></tr><tr><th scope=""row"">120х200</th><td>5 021 грн.</td></tr><tr><th scope=""row"">140х200</th><td>5 743 грн.</td></tr><tr><th scope=""row"">150х200</th><td>6 033 грн.</td></tr><tr><th scope=""row"">160х200</th><td>6 310 грн.</td></tr><tr><th scope=""row"">180х200</th><td>7 173 грн.</td></tr><tr><th scope=""row"">200х200</th><td>8 045 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>18 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть грн.</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>Латексована кокосова койра грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Наявний грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Пружинна система Pocket Spring грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>5/4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>130 кг грн.</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Ефект 2 в 1 грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-2-v-1/ortopedichnij-matrats-freedom-2-v-1-kiev-odesa-lviv-0.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Basik;F-83-32-66;Freedom;ortopedichnij-matrats-freedom-basik-kiev-borispol-brovary-matras;2454;15 см;4;120 кг;"<tr><th scope=""row"">70х190</th><td>2 454 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 754 грн.</td></tr><tr><th scope=""row"">90х190</th><td>3 043 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 989 грн.</td></tr><tr><th scope=""row"">140х190</th><td>4 566 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 801 грн.</td></tr><tr><th scope=""row"">160х190</th><td>5 025 грн.</td></tr><tr><th scope=""row"">180х190</th><td>5 596 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 796 грн.</td></tr><tr><th scope=""row"">90х200</th><td>3 089 грн.</td></tr><tr><th scope=""row"">120х200</th><td>4 046 грн.</td></tr><tr><th scope=""row"">140х200</th><td>4 628 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 863 грн.</td></tr><tr><th scope=""row"">160х200</th><td>5 085 грн.</td></tr><tr><th scope=""row"">180х200</th><td>5 781 грн.</td></tr><tr><th scope=""row"">200х200</th><td>6 484 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>15 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Відсутній грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-basik/ortopedichnij-matrats-freedom-basik-kiev-odesa-lviv-1.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Flex;F-76-77-32;Freedom;ortopedichnij-matrats-freedom-flex-kiev-borispol-brovary-matras;2849;17 см;4/5;130 кг;"<tr><th scope=""row"">70х190</th><td>2 849 грн.</td></tr><tr><th scope=""row"">80х190</th><td>3 197 грн.</td></tr><tr><th scope=""row"">90х190</th><td>3 533 грн.</td></tr><tr><th scope=""row"">120х190</th><td>4 631 грн.</td></tr><tr><th scope=""row"">140х190</th><td>5 300 грн.</td></tr><tr><th scope=""row"">150х190</th><td>5 573 грн.</td></tr><tr><th scope=""row"">160х190</th><td>5 833 грн.</td></tr><tr><th scope=""row"">180х190</th><td>6 496 грн.</td></tr><tr><th scope=""row"">80х200</th><td>3 247 грн.</td></tr><tr><th scope=""row"">90х200</th><td>3 586 грн.</td></tr><tr><th scope=""row"">120х200</th><td>4 697 грн.</td></tr><tr><th scope=""row"">140х200</th><td>5 373 грн.</td></tr><tr><th scope=""row"">150х200</th><td>5 646 грн.</td></tr><tr><th scope=""row"">160х200</th><td>5 904 грн.</td></tr><tr><th scope=""row"">180х200</th><td>6 711 грн.</td></tr><tr><th scope=""row"">200х200</th><td>7 528 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>17 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна з масажним ефектом грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Піна грн.</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>Піна з масажним ефектом грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Відсутній грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4/5 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>130 кг грн.</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Ефект 2 в 1 грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-flex/ortopedichnij-matrats-freedom-flex-kiev-odesa-lviv-2.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Bonnel;F-78-66-79;Freedom;ortopedichnij-matrats-freedom-bonnel-kiev-borispol-brovary-matras;2125;19 см;4;120 кг;"<tr><th scope=""row"">70х190</th><td>2 125 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 385 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 635 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 453 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 954 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 157 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 351 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 845 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 422 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 674 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 503 грн.</td></tr><tr><th scope=""row"">140х200</th><td>4 008 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 211 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 404 грн.</td></tr><tr><th scope=""row"">180х200</th><td>5 006 грн.</td></tr><tr><th scope=""row"">200х200</th><td>5 615 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>19 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна з масажним ефектом грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Наявний грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Блок пружин «Боннель»  (120 шт./м.кв.) грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-bonnel/ortopedichnij-matrats-freedom-bonnel-kiev-odesa-lviv-3.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Hard;F-65-77-32;Freedom;ortopedichnij-matrats-freedom-hard-kiev-borispol-brovary-matras;2363;19 см;5;140 кг;"<tr><th scope=""row"">70х190</th><td>2 363 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 651 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 931 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 841 грн.</td></tr><tr><th scope=""row"">140х190</th><td>4 396 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 622 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 838 грн.</td></tr><tr><th scope=""row"">180х190</th><td>5 388 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 692 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 974 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 896 грн.</td></tr><tr><th scope=""row"">140х200</th><td>4 456 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 682 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 896 грн.</td></tr><tr><th scope=""row"">180х200</th><td>5 566 грн.</td></tr><tr><th scope=""row"">200х200</th><td>6 242 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>19 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна з масажним ефектом грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Наявний грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Блок пружин «Боннель»  (150 шт./м.кв.) грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>5 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>140 кг грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-hard/ortopedichnij-matrats-freedom-hard-kiev-odesa-lviv-4.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Pocket;F-75-80-79;Freedom;ortopedichnij-matrats-freedom-pocket-kiev-borispol-brovary-matras;2349;19 см;4;120 кг;"<tr><th scope=""row"">70х190</th><td>2 349 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 635 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 913 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 818 грн.</td></tr><tr><th scope=""row"">140х190</th><td>4 371 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 594 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 809 грн.</td></tr><tr><th scope=""row"">180х190</th><td>5 357 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 677 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 957 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 873 грн.</td></tr><tr><th scope=""row"">140х200</th><td>4 429 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 655 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 868 грн.</td></tr><tr><th scope=""row"">180х200</th><td>5 534 грн.</td></tr><tr><th scope=""row"">200х200</th><td>6 207 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>19 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна з масажним ефектом грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Наявний грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Пружинна система Pocket Spring грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-pocket/ortopedichnij-matrats-freedom-pocket-kiev-odesa-lviv-5.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom Foam;F-79-77-32;Freedom;ortopedichnij-matrats-freedom-foam-kiev-borispol-brovary-matras;2159;11 см;3;90 кг;"<tr><th scope=""row"">70х190</th><td>2 159 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 423 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 677 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 509 грн.</td></tr><tr><th scope=""row"">140х190</th><td>4 016 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 223 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 421 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 923 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 460 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 718 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 560 грн.</td></tr><tr><th scope=""row"">140х200</th><td>4 072 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 278 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 474 грн.</td></tr><tr><th scope=""row"">180х200</th><td>5 085 грн.</td></tr><tr><th scope=""row"">200х200</th><td>5 704 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>11 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Відсутній грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>3 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>90 кг грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-foam/ortopedichnij-matrats-freedom-foam-kiev-odesa-lviv-6.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Freedom mini;F-73-77-32;Freedom;ortopedichnij-matrats-freedom-mini-kiev-borispol-brovary-matras;1023;4 см;3;120 кг;"<tr><th scope=""row"">70х190</th><td>1 023 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 149 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 269 грн.</td></tr><tr><th scope=""row"">120х190</th><td>1 663 грн.</td></tr><tr><th scope=""row"">140х190</th><td>1 904 грн.</td></tr><tr><th scope=""row"">150х190</th><td>2 002 грн.</td></tr><tr><th scope=""row"">160х190</th><td>2 095 грн.</td></tr><tr><th scope=""row"">180х190</th><td>2 334 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 166 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 288 грн.</td></tr><tr><th scope=""row"">120х200</th><td>1 688 грн.</td></tr><tr><th scope=""row"">140х200</th><td>1 931 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 028 грн.</td></tr><tr><th scope=""row"">160х200</th><td>2 121 грн.</td></tr><tr><th scope=""row"">180х200</th><td>2 411 грн.</td></tr><tr><th scope=""row"">200х200</th><td>2 704 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>4 см грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Відсутній грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Безпружинний грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>3 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг грн.</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Вакуумне пакування грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-freedom-mini/ortopedichnij-matrats-freedom-mini-kiev-odesa-lviv-7.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Arabeska Sonora;A-79-83-79;Arabeska;ortopedichnij-matrats-arabeska-sonora-kiev-borispol-brovary-matras;3860;21;4;130 кг;"<tr><th scope=""row"">70х190</th><td>3 860 грн.</td></tr><tr><th scope=""row"">80х190</th><td>4 332 грн.</td></tr><tr><th scope=""row"">90х190</th><td>4 787 грн.</td></tr><tr><th scope=""row"">120х190</th><td>6 273 грн.</td></tr><tr><th scope=""row"">140х190</th><td>7 181 грн.</td></tr><tr><th scope=""row"">150х190</th><td>7 550 грн.</td></tr><tr><th scope=""row"">160х190</th><td>7 902 грн.</td></tr><tr><th scope=""row"">180х190</th><td>8 801 грн.</td></tr><tr><th scope=""row"">80х200</th><td>4 398 грн.</td></tr><tr><th scope=""row"">90х200</th><td>4 859 грн.</td></tr><tr><th scope=""row"">120х200</th><td>6 363 грн.</td></tr><tr><th scope=""row"">140х200</th><td>7 278 грн.</td></tr><tr><th scope=""row"">150х200</th><td>7 649 грн.</td></tr><tr><th scope=""row"">160х200</th><td>7 998 грн.</td></tr><tr><th scope=""row"">180х200</th><td>9 092 грн.</td></tr><tr><th scope=""row"">200х200</th><td>10 197 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200 грн.</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200 грн.</td></tr><tr><th scope=""row"">Висота, см</th><td>21 грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Seven–Z foam грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Protect layer грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Support board грн.</td></tr><tr><th scope=""row"">Рекомендований термін експлуатації</th><td>10 років грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>36 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Чохол Floral deluxe грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Пружинна система «Seven–Z pocket» грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>130 кг грн.</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Protect layer. гарантія 3 роки грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-arabeska-sonora/ortopedichnij-matrats-arabeska-sonora-kiev-odesa-lviv-8.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
Ортопедичний матрац Arabeska Tanami;A-65-84-65;Arabeska;ortopedichnij-matrats-arabeska-tanami-kiev-borispol-brovary-matras;4041;21;4;150 кг;"<tr><th scope=""row"">70х190</th><td>4 041 грн.</td></tr><tr><th scope=""row"">80х190</th><td>4 535 грн.</td></tr><tr><th scope=""row"">90х190</th><td>5 012 грн.</td></tr><tr><th scope=""row"">120х190</th><td>6 567 грн.</td></tr><tr><th scope=""row"">140х190</th><td>7 518 грн.</td></tr><tr><th scope=""row"">150х190</th><td>7 904 грн.</td></tr><tr><th scope=""row"">160х190</th><td>8 273 грн.</td></tr><tr><th scope=""row"">180х190</th><td>9 213 грн.</td></tr><tr><th scope=""row"">80х200</th><td>4 605 грн.</td></tr><tr><th scope=""row"">90х200</th><td>5 085 грн.</td></tr><tr><th scope=""row"">120х200</th><td>6 662 грн.</td></tr><tr><th scope=""row"">140х200</th><td>7 620 грн.</td></tr><tr><th scope=""row"">150х200</th><td>8 007 грн.</td></tr><tr><th scope=""row"">160х200</th><td>8 373 грн.</td></tr><tr><th scope=""row"">180х200</th><td>9 518 грн.</td></tr><tr><th scope=""row"">200х200</th><td>10 676 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200 грн.</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200 грн.</td></tr><tr><th scope=""row"">Висота, см</th><td>21 грн.</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Пружинний грн.</td></tr><tr><th scope=""row"">Наповнювач </th><td>Seven–Z foam грн.</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Ultra protect layer грн.</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Support board грн.</td></tr><tr><th scope=""row"">Рекомендований термін експлуатації</th><td>10 років грн.</td></tr><tr><th scope=""row"">Гарантія</th><td>36 місяців грн.</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Чохол Floral deluxe грн.</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний грн.</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Пружинна система «Seven–Z pocket» грн.</td></tr><tr><th scope=""row"">Жорсткість</th><td>4 грн.</td></tr><tr><th scope=""row"">Навантаження</th><td>150 кг грн.</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Ultra protect layer. гарантія 3 роки грн.</td></tr><tr><th scope=""row"">Тип матраца</th><td>Пружинний грн.</td></tr>";images/EMM/ortopedichni-matratsi/ortopedichnij-matrats-arabeska-tanami/ortopedichnij-matrats-arabeska-tanami-kiev-odesa-lviv-9.jpg;images/EMM/ortopedichni-matratsi/img1-EMM.jpg;images/EMM/ortopedichni-matratsi/img2-EMM.jpg;16
