name_tovar_ua;kod_tovar;brend;alias;price;matr_visot;matr_zhors;matr_nagruz;introtext_razm_price_vse;cont_name_harakt_vse;image;mimage1;mimage2;template
Наматрацник Freedom;F-68-82-69;Freedom;namatratsnik-freedom-kiev-borispol-brovary-matras;332;0;0;0;"<tr><th scope=""row"">70х190</th><td>332 грн.</td></tr><tr><th scope=""row"">80х190</th><td>373 грн.</td></tr><tr><th scope=""row"">90х190</th><td>412 грн.</td></tr><tr><th scope=""row"">120х190</th><td>520 грн.</td></tr><tr><th scope=""row"">140х190</th><td>618 грн.</td></tr><tr><th scope=""row"">150х190</th><td>649 грн.</td></tr><tr><th scope=""row"">160х190</th><td>680 грн.</td></tr><tr><th scope=""row"">180х190</th><td>757 грн.</td></tr><tr><th scope=""row"">80х200</th><td>378 грн.</td></tr><tr><th scope=""row"">90х200</th><td>419 грн.</td></tr><tr><th scope=""row"">120х200</th><td>548 грн.</td></tr><tr><th scope=""row"">140х200</th><td>626 грн.</td></tr><tr><th scope=""row"">150х200</th><td>659 грн.</td></tr><tr><th scope=""row"">160х200</th><td>689 грн.</td></tr><tr><th scope=""row"">180х200</th><td>783 грн.</td></tr><tr><th scope=""row"">200х200</th><td>878 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>200</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr><tr><th scope=""row"">Метод кріплення</th><td>За допомогою резинок по кутах матраца</td></tr><tr><th scope=""row"">Ступінь захисту</th><td>2</td></tr>";images/EMM/namatrasnik/namatratsnik-freedom/namatratsnik-freedom-kiev-odesa-lviv-0.jpg;images/EMM/namatrasnik/img1-EMM.jpg;images/EMM/namatrasnik/img2-EMM.jpg;16
Наматрацник Day&Night КЛАСИЧНИЙ;D-1053-1057-1048;Day&Night;namatratsnik-daynight-klasichnij-kiev-borispol-brovary-matras;389;0;0;0;"<tr><th scope=""row"">70х190</th><td>389 грн.</td></tr><tr><th scope=""row"">80х190</th><td>435 грн.</td></tr><tr><th scope=""row"">90х190</th><td>482 грн.</td></tr><tr><th scope=""row"">120х190</th><td>630 грн.</td></tr><tr><th scope=""row"">140х190</th><td>722 грн.</td></tr><tr><th scope=""row"">150х190</th><td>759 грн.</td></tr><tr><th scope=""row"">160х190</th><td>795 грн.</td></tr><tr><th scope=""row"">180х190</th><td>885 грн.</td></tr><tr><th scope=""row"">80х200</th><td>443 грн.</td></tr><tr><th scope=""row"">90х200</th><td>489 грн.</td></tr><tr><th scope=""row"">120х200</th><td>639 грн.</td></tr><tr><th scope=""row"">140х200</th><td>732 грн.</td></tr><tr><th scope=""row"">150х200</th><td>770 грн.</td></tr><tr><th scope=""row"">160х200</th><td>804 грн.</td></tr><tr><th scope=""row"">180х200</th><td>914 грн.</td></tr><tr><th scope=""row"">200х200</th><td>1 025 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>200</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr><tr><th scope=""row"">Метод кріплення</th><td>За допомогою резинок по кутах матраца</td></tr><tr><th scope=""row"">Ступінь захисту</th><td>2</td></tr>";images/EMM/namatrasnik/namatratsnik-daynight-klasichnij/namatratsnik-daynight-klasichnij-kiev-odesa-lviv-1.jpg;images/EMM/namatrasnik/img1-EMM.jpg;images/EMM/namatrasnik/img2-EMM.jpg;16
Наматрацник Day&Night ЛЮКС;D-1070-84-32;Day&Night;namatratsnik-daynight-ljuks-kiev-borispol-brovary-matras;623;0;0;0;"<tr><th scope=""row"">80х190</th><td>623 грн.</td></tr><tr><th scope=""row"">90х190</th><td>687 грн.</td></tr><tr><th scope=""row"">120х190</th><td>902 грн.</td></tr><tr><th scope=""row"">140х190</th><td>1 032 грн.</td></tr><tr><th scope=""row"">160х190</th><td>1 136 грн.</td></tr><tr><th scope=""row"">180х190</th><td>1 265 грн.</td></tr><tr><th scope=""row"">80х200</th><td>632 грн.</td></tr><tr><th scope=""row"">90х200</th><td>698 грн.</td></tr><tr><th scope=""row"">120х200</th><td>914 грн.</td></tr><tr><th scope=""row"">140х200</th><td>1 046 грн.</td></tr><tr><th scope=""row"">160х200</th><td>1 149 грн.</td></tr><tr><th scope=""row"">180х200</th><td>1 307 грн.</td></tr><tr><th scope=""row"">200х200</th><td>1 466 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>200</td></tr><tr><th scope=""row"">Довжина, см</th><td>200</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра. кулір</td></tr><tr><th scope=""row"">Метод кріплення</th><td>За допомогою бортика із трикотажної тканини з резинкою</td></tr><tr><th scope=""row"">Ступінь захисту</th><td>2</td></tr>";images/EMM/namatrasnik/namatratsnik-daynight-ljuks/namatratsnik-daynight-ljuks-kiev-odesa-lviv-2.jpg;images/EMM/namatrasnik/img1-EMM.jpg;images/EMM/namatrasnik/img2-EMM.jpg;16
Наматрацник Day&Night ВОЛОГОСТІЙКИЙ;D-1050-1058-1030;Day&Night;namatratsnik-daynight-vologostjkij-kiev-borispol-brovary-matras;570;0;0;0;"<tr><th scope=""row"">60х120</th><td>570 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 173 грн.</td></tr><tr><th scope=""row"">160х200</th><td>1 724 грн.</td></tr><tr><th scope=""row"">180х200</th><td>1 959 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>180</td></tr><tr><th scope=""row"">Довжина, см</th><td>200</td></tr><tr><th scope=""row"">Наповнювач </th><td>-</td></tr><tr><th scope=""row"">Тканина</th><td>Верхній шар: трикотажне махрове полотно -100% бавовна. нижній шар - водонепроникна та повітронепроникна мембрана</td></tr><tr><th scope=""row"">Метод кріплення</th><td>За допомогою бортика з резинкою по периметру</td></tr><tr><th scope=""row"">Ступінь захисту</th><td>3</td></tr>";images/EMM/namatrasnik/namatratsnik-daynight-vologostjkij/namatratsnik-daynight-vologostjkij-kiev-odesa-lviv-3.jpg;images/EMM/namatrasnik/img1-EMM.jpg;images/EMM/namatrasnik/img2-EMM.jpg;16
Комплект наматрацників Класичний Н;S-1049-1063-1053;Sleep&Fly Hotel;komplekt-namatratsnikv-klasichnij-n-kiev-borispol-brovary-matras;1266;0;0;0;"<tr><th scope=""row"">160х190</th><td>1 266 грн.</td></tr><tr><th scope=""row"">160х200</th><td>1 404 грн.</td></tr><tr><th scope=""row"">180х190</th><td>1 284 грн.</td></tr><tr><th scope=""row"">180х200</th><td>1 437 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>180</td></tr><tr><th scope=""row"">Довжина, см</th><td>200</td></tr><tr><th scope=""row"">Наповнювач </th><td>Силіконізовані поліефірні волокна</td></tr><tr><th scope=""row"">Тканина</th><td>Мікрофібра</td></tr><tr><th scope=""row"">Метод кріплення</th><td>За допомогою резинок по кутах матраца</td></tr><tr><th scope=""row"">Ступінь захисту</th><td>2</td></tr>";images/EMM/namatrasnik/komplekt-namatratsnikv-klasichnij-n/komplekt-namatratsnikv-klasichnij-n-kiev-odesa-lviv-4.jpg;images/EMM/namatrasnik/img1-EMM.jpg;images/EMM/namatrasnik/img2-EMM.jpg;16
