name_tovar_ua;kod_tovar;brend;alias;price;matr_visot;matr_zhors;matr_nagruz;introtext_razm_price_vse;cont_name_harakt_vse;image;mimage1;mimage2;template
Подушка Day&Night Wellness;D-69-76-76;Day&Night;podushka-daynight-wellness-kiev-borispol-brovary-matras;1761;0;0;0;"<tr><th scope=""row"">50х45х14</th><td>1 761 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>45</td></tr><tr><th scope=""row"">Довжина, см</th><td>50</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Стрейч</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>ортопедична</td></tr><tr><th scope=""row"">Наповнювач</th><td>піна з ""ефектом пам'яті"" Memory Foam</td></tr><tr><th scope=""row"">Тип сну</th><td>універсальний</td></tr>";images/EMM/podushki/podushka-daynight-wellness/podushka-daynight-wellness-kiev-odesa-lviv-0.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Подушка Day&Night Анті Храп;D-1056-1030-32;Day&Night;podushka-daynight-ant-hrap-kiev-borispol-brovary-matras;1850;0;0;0;"<tr><th scope=""row"">53х40х12/11</th><td>1 850 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>40</td></tr><tr><th scope=""row"">Довжина, см</th><td>53</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Стрейч</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>ортопедична</td></tr><tr><th scope=""row"">Наповнювач</th><td>піна з ""ефектом пам'яті"" Memory Foam</td></tr><tr><th scope=""row"">Тип сну</th><td>на спині</td></tr>";images/EMM/podushki/podushka-daynight-ant-hrap/podushka-daynight-ant-hrap-kiev-odesa-lviv-1.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Подушка Day&Night класична Latex;D-84-32-76;Day&Night;podushka-daynight-klasichna-latex-kiev-borispol-brovary-matras;1494;0;0;0;"<tr><th scope=""row"">61х40х10</th><td>1 494 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>40</td></tr><tr><th scope=""row"">Довжина, см</th><td>61</td></tr><tr><th scope=""row"">Тканина чохла</th><td>стрейч з 3d-сіткою</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>класична</td></tr><tr><th scope=""row"">Наповнювач</th><td>натуральний ""дихаючий"" Latex</td></tr><tr><th scope=""row"">Тип сну</th><td>універсальний</td></tr>";images/EMM/podushki/podushka-daynight-klasichna-latex/podushka-daynight-klasichna-latex-kiev-odesa-lviv-2.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Подушка Day&Night ортопедична Latex;D-84-32-76;Day&Night;podushka-daynight-ortopedichna-latex-kiev-borispol-brovary-matras;1149;0;0;0;"<tr><th scope=""row"">57х32х10/9</th><td>1 149 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>32</td></tr><tr><th scope=""row"">Довжина, см</th><td>57</td></tr><tr><th scope=""row"">Тканина чохла</th><td>стрейч з 3d-сіткою</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>ортопедична</td></tr><tr><th scope=""row"">Наповнювач</th><td>натуральний ""дихаючий"" Latex</td></tr><tr><th scope=""row"">Тип сну</th><td>на боці та на животі</td></tr>";images/EMM/podushki/podushka-daynight-ortopedichna-latex/podushka-daynight-ortopedichna-latex-kiev-odesa-lviv-3.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Подушка Day&Night класична Memory;D-79-77-69;Day&Night;podushka-daynight-klasichna-memory-kiev-borispol-brovary-matras;896;0;0;0;"<tr><th scope=""row"">55х37х15</th><td>896 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>37</td></tr><tr><th scope=""row"">Довжина, см</th><td>55</td></tr><tr><th scope=""row"">Тканина чохла</th><td>стрейч з 3d-сіткою</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>класична</td></tr><tr><th scope=""row"">Наповнювач</th><td>піна з ""ефектом пам'яті"" Memory</td></tr><tr><th scope=""row"">Тип сну</th><td>універсальний</td></tr>";images/EMM/podushki/podushka-daynight-klasichna-memory/podushka-daynight-klasichna-memory-kiev-odesa-lviv-4.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Подушка Day&Night ортопедична Memory;D-79-77-69;Day&Night;podushka-daynight-ortopedichna-memory-kiev-borispol-brovary-matras;896;0;0;0;"<tr><th scope=""row"">57х37х12/9</th><td>896 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>37</td></tr><tr><th scope=""row"">Довжина, см</th><td>57</td></tr><tr><th scope=""row"">Тканина чохла</th><td>стрейч з 3d-сіткою</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>ортопедична</td></tr><tr><th scope=""row"">Наповнювач</th><td>піна з ""ефектом пам'яті"" Memory</td></tr><tr><th scope=""row"">Тип сну</th><td>на боці</td></tr>";images/EMM/podushki/podushka-daynight-ortopedichna-memory/podushka-daynight-ortopedichna-memory-kiev-odesa-lviv-5.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
Міні-подушка Day&Night Memory;D-79-77-69;Day&Night;mn-podushka-daynight-memory-kiev-borispol-brovary-matras;746;0;0;0;"<tr><th scope=""row"">49х31х11/9</th><td>746 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>31</td></tr><tr><th scope=""row"">Довжина, см</th><td>49</td></tr><tr><th scope=""row"">Тканина чохла</th><td>стрейч з 3d-сіткою</td></tr><tr><th scope=""row"">Тип чохла</th><td>знімний</td></tr><tr><th scope=""row"">Форма</th><td>ортопедична</td></tr><tr><th scope=""row"">Наповнювач</th><td>піна з ""ефектом пам'яті"" Memory</td></tr><tr><th scope=""row"">Тип сну</th><td>на боці</td></tr>";images/EMM/podushki/mn-podushka-daynight-memory/mn-podushka-daynight-memory-kiev-odesa-lviv-6.jpg;images/EMM/podushki/img1-EMM.jpg;images/EMM/podushki/img2-EMM.jpg;16
